Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
RF-1855,RF-1855 TOP FREEZER REFRIGERATOR 28 CU FT,-- Unbranded --,,,Whirlpool Corporation
EL2-1520,EL2-1520 DECORA SWITCH 15A WHT,-- Unbranded --,-- No Unilog Brand --,,Leviton
ADH-1470,ADH-1470 EPOXY 3OZ TUBE,-- Unbranded --,-- No Unilog Brand --,,Henkel Corp
SF2-1976,SF2-1976 NITRILE GLOVE PF LG 100CT,-- Unbranded --,,,Ansell
EL2-1359,EL2-1359 DECORA ROCKER SWITCH 20A WHITE,,,,Leviton Manufacturing
PL2-1722,PL2-1722 1IN CU 90 ELBOW,-- Unbranded --,,,Nibco Inc
PT2-1666,"PT2-1666 7.25"" CIRC SAW 15A CORDED",,,,Makita USA
AU-1937,AU-1937 12V AGM BATTERY GRP 24 712CCA,-- Unbranded --,,,Interstate Battery Sys
TOOL2-1514,TOOL2-1514 M18 RECIPROCATING SAW KIT,-- Unbranded --,-- No Unilog Brand --,,Milwaukee Tool
HT-1133,HT-1133 12in ADJUSTABLE WRENCH CHROME VANADIUM,-- Unbranded --,-- No Unilog Brand --,,Klein Tools Inc
TOOL2-1384,TOOL2-1384 M12 ANGLE GRINDER KIT,,,-- No DIB Brand --,Milwaukee
AU-1038,AU-1038 12V AGM BATTERY GRP 35 604CCA,-- Unbranded --,-- No Unilog Brand --,,Interstate
LB-1288,LB-1288 LED FLAT PANEL 2X2 40W 4000K,,,,Signify NA
LB-1057,LB-1057 LED FLAT PANEL 2X4 50W 3500K,-- Unbranded --,,,Philips Lighting
PT2-1511,PT2-1511 10IN CIRC SAW 15A CORDED,-- Unbranded --,-- No Unilog Brand --,,Makita USA
LB-1445,LB-1445 A19 LED 12W 4000K DIM 6PK,-- Unbranded --,,-- No DIB Brand --,Signify NA
SF2-1667,SF2-1667 NITRILE GLOVE PF SM 100CT,,-- No Unilog Brand --,,Ansell
CBL-1222,CBL-1222 CAT5 CABLE 500FT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Belden
SF2-1521,SF2-1521 NITRILE GLOVES PF XL 100CT,-- Unbranded --,,,Ansell Ltd
VLV-1813,VLV-1813 3/4IN BALL VLV BRZ THD,-- Unbranded --,-- No Unilog Brand --,,Eaton Corp
DW-1040,DW-1040 TOP CONTROL DISHWASHER 55 dBA STAINLESS STEEL,-- Unbranded --,-- No Unilog Brand --,,LG Electronics
JN-1849,JN-1849 24IN MICROFIBER FLAT MOP,,-- No Unilog Brand --,,Rubbermaid
DW-1920,DW-1920 TOP CONTROL DISHWASHER 54 dBA BLACK STAINLESS,,,,Samsung Electronics
AU-1176,AU-1176 12V AGM BATTERY GRP 24 707CCA,-- Unbranded --,-- No Unilog Brand --,,Interstate Batteries
FAS2-1179,FAS2-1179 JOIST HANGER GALV,,,,Simpson
PT2-1418,"PT2-1418 6.5"" CIRC SAW 15A CORDED",-- Unbranded --,,,Makita USA
VLV-1742,"VLV-1742 1/2"" BALL VLV FULL PORT",-- Unbranded --,,-- No DIB Brand --,Eaton
AU-1220,AU-1220 12V AGM BATTERY GRP 65 727CCA,-- Unbranded --,-- No Unilog Brand --,,Interstate Battery Sys
SF-1385,SF-1385 SAFETY GLASSES CLR ANTI-FOG ANSI Z87.1,-- Unbranded --,-- No Unilog Brand --,,3M
PT2-1842,PT2-1842 6.5-IN CIRC SAW 15A CORDED,,,,Makita USA
VLV-1003,VLV-1003 1/2IN BALL VLV FULL PORT,-- Unbranded --,,-- No DIB Brand --,Eaton Corporation
DW-1696,DW-1696 FRONT CONTROL DISHWASHER 43 dBA BLACK STAINLESS,-- Unbranded --,,-- No DIB Brand --,LG Electronics
PT-1682,PT-1682 18V MAX CORDLESS DRILL DRIVER KIT,-- Unbranded --,,,DeWalt Ind. Tool
TOOL2-1285,TOOL2-1285 M12 RECIPROCATING SAW KIT,-- Unbranded --,,-- No DIB Brand --,Milwaukee Electric Tool
PL2-1548,PL2-1548 1/2IN COPPER TEE CXCXC,,,,Nibco Inc
HT-1559,HT-1559 10 in. ADJUSTABLE WRENCH CHROME VANADIUM,-- Unbranded --,,,Klein
EL-1338,EL-1338 14/2 NM-B ROMEX 250 FT,,,,Southwire
VLV-1124,"VLV-1124 1/2"" BALL VLV BRS FIP",-- Unbranded --,-- No Unilog Brand --,,Eaton
HT-1745,HT-1745 8 in. ADJ WRENCH CHROME VANADIUM,-- Unbranded --,,-- No DIB Brand --,Klein
LB-1695,LB-1695 A19 LED 15W 5000K DIMMABLE 3PK,,,,Signify North America
LG-1823,LG-1823 40V CORDLESS HEDGE TRIMMER,-- Unbranded --,,,EGO
AU-1451,AU-1451 12V AGM BATTERY GRP 65 722CCA,-- Unbranded --,-- No Unilog Brand --,,Interstate Batteries
TOOL2-1924,TOOL2-1924 M18 IMPACT WRENCH KIT,-- Unbranded --,,,Milwaukee
RF-1512,RF-1512 SIDE BY SIDE REFRIGERATOR 23 CU FT,-- Unbranded --,,-- No DIB Brand --,LG Electronics
AB2-1462,AB2-1462 4 in. FLAP DISC 40GRIT,,,,Norton Abrasives
LG-1768,LG-1768 56V CORDLESS HEDGE TRIMMER,-- Unbranded --,,,EGO
EL2-1339,EL2-1339 DECORA SWITCH 20A WHITE,,,,Leviton Manufacturing
BM-1854,BM-1854 5/8IN OSB SHEATHING 4X8 SHEET,-- Unbranded --,-- No Unilog Brand --,,Georgia-Pacific
TOOL2-1971,TOOL2-1971 M18 IMPACT WRENCH KIT,-- Unbranded --,-- No Unilog Brand --,,Milwaukee Tool
AB-1481,AB-1481 100GRIT SANDING BELT 7 in.,-- Unbranded --,-- No Unilog Brand --,,3M Company
AB2-1320,AB2-1320 9 IN GRIND WHL A24 TYPE27,-- Unbranded --,,,Norton Abr.
FA-1760,FA-1760 10D COMMON NAIL 3IN 1# BOX,-- Unbranded --,,,Fastenal Company
AB-1238,"AB-1238 36GRIT SANDING BELT 4.5""",-- Unbranded --,,,3M Co.
AU-1380,AU-1380 12V AGM BATTERY GRP 65 567CCA,-- Unbranded --,-- No Unilog Brand --,,Interstate
HT-1386,HT-1386 8in ADJ WRENCH CHROME VANADIUM,,-- No Unilog Brand --,,Klein
LB-1563,LB-1563 LED FLAT PANEL 2X2 50W 5000K,-- Unbranded --,-- No Unilog Brand --,,Philips Lighting
PL2-1143,PL2-1143 1IN CU 90 ELBOW,-- Unbranded --,,,Nibco
SF2-1079,SF2-1079 NITRILE GLOVE PF SM 50CT,,,-- No DIB Brand --,Ansell Limited
PT-1188,PT-1188 18V CORDLESS DRILL DRIVER KIT,-- Unbranded --,-- No Unilog Brand --,,DEWALT
JN-1838,JN-1838 18 IN MICROFIBER MOP PAD,-- Unbranded --,,-- No DIB Brand --,Rubbermaid Comm
DW-1680,DW-1680 BUILT-IN DISHWASHER 55 dBA STAINLESS STEEL,-- Unbranded --,,,Samsung Electronics
PL2-1734,PL2-1734 1/2IN CU 90 ELBOW,-- Unbranded --,,,Nibco Inc
AB2-1530,AB2-1530 7in CUT WHL METAL,,,-- No DIB Brand --,Norton
PL-1461,PL-1461 3/8 UNION BRS 125#,,-- No Unilog Brand --,-- No DIB Brand --,Watts
EL-1313,EL-1313 12/2 NM-B ROMEX 250 FT,-- Unbranded --,-- No Unilog Brand --,,Southwire Company
PT2-1534,PT2-1534 6.5 IN CIRC SAW 15A CORDED,-- Unbranded --,,-- No DIB Brand --,Makita
UNK-9012,,,,,ABC Supply Co
SF-1656,SF-1656 SAFETY GLASSES CLR ANTI-FOG ANSI Z87.1,-- Unbranded --,,,3M Co.
PT2-1856,PT2-1856 7.25in CIRC SAW 15A CORDED,,,-- No DIB Brand --,Makita
AB2-1871,AB2-1871 7 IN FLAP DISC 40GRIT,,,,Norton Abr.
CBL-1207,CBL-1207 CAT5 CABLE 250FT,-- Unbranded --,,,Belden
EL-1281,EL-1281 10/3 NM-B ROMEX 250 FT,-- Unbranded --,,,Southwire Co.
FA-1595,"FA-1595 #10-24 X 1.5"" HEX CAP SCR ZN GR5",-- Unbranded --,,-- No DIB Brand --,Fastenal Co
SF2-1684,SF2-1684 NITRILE GLOVES PF MD 100CT,-- Unbranded --,,,Ansell Limited
UNK-9008,MISC HDW ASSTD,,,,
CBL-1055,CBL-1055 CAT6 CABLE 250FT,,,-- No DIB Brand --,Belden
PL2-1679,PL2-1679 3/4IN COPPER TEE CXCXC,-- Unbranded --,,,Nibco
VLV-1609,VLV-1609 3/4IN BALL VLV BRZ THD,-- Unbranded --,,-- No DIB Brand --,Eaton
HT-1717,HT-1717 10in ADJUSTABLE WRENCH CHROME VANADIUM,,-- No Unilog Brand --,-- No DIB Brand --,Klein Tools
EL2-1797,EL2-1797 GFCI RECEPT 15A 125V TR IVORY,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Leviton
AB2-1268,AB2-1268 7-IN CUT WHL METAL,-- Unbranded --,,-- No DIB Brand --,Norton Abr.
LG-1647,LG-1647 40V CORDLESS HEDGE TRIMMER,-- Unbranded --,,-- No DIB Brand --,EGO
AB2-1249,"AB2-1249 7"" FLAP DISC 40GRIT",-- Unbranded --,,,Norton Abrasives
JN-1926,JN-1926 24-IN MICROFIBER FLAT MOP,-- Unbranded --,,-- No DIB Brand --,Rubbermaid Comm
MW-1068,MW-1068 COUNTERTOP MICROWAVE 1313W,-- Unbranded --,,,GE Appliances
HT-1139,HT-1139 8-IN ADJUSTABLE WRENCH CHROME VANADIUM,-- Unbranded --,-- No Unilog Brand --,,Klein Tools Inc
FA-1102,"FA-1102 5/16-18 X 2"" HEX CAP SCR ZN GR5",,-- No Unilog Brand --,-- No DIB Brand --,Fastenal Company
EL2-1640,EL2-1640 GFCI OUTLET 20A 125V TR WHITE,-- Unbranded --,,,Leviton
JN-1112,"JN-1112 24"" MICROFIBER MOP PAD",-- Unbranded --,,,Rubbermaid Commercial
SF-1972,SF-1972 SAFETY GLASSES CLEAR ANTI-FOG ANSI Z87.1,-- Unbranded --,-- No Unilog Brand --,,3M
RF-1606,RF-1606 FRENCH DOOR REFRIGERATOR 19 CU FT,-- Unbranded --,,,Samsung Electronics
AU-1147,AU-1147 12V AGM BATTERY GRP 24 689CCA,-- Unbranded --,,-- No DIB Brand --,Interstate Batteries
ADH-1747,ADH-1747 CONSTRUCTION ADHESIVE 9OZ CARTRIDGE,-- Unbranded --,,-- No DIB Brand --,Henkel Corporation
PL2-1495,PL2-1495 1IN COPPER TEE CXCXC,-- Unbranded --,,-- No DIB Brand --,Nibco Inc
VLV-1907,VLV-1907 3/4IN BALL VLV BRS FIP,-- Unbranded --,,-- No DIB Brand --,Eaton Corporation
CBL-1434,CBL-1434 CAT6 CABLE 100FT,-- Unbranded --,,,Belden Inc
TOOL2-1930,TOOL2-1930 M18 IMPACT WRENCH KIT,,-- No Unilog Brand --,,Milwaukee Electric Tool
LG-1561,LG-1561 40V CORDLESS LEAF BLOWER,-- Unbranded --,-- No Unilog Brand --,,EGO
TOOL2-1952,TOOL2-1952 M18 IMPACT WRENCH KIT,-- Unbranded --,,,Milwaukee
MW-1275,MW-1275 OVER THE RANGE MICROWAVE 1312W,-- Unbranded --,,,GE Appliances
AB-1804,AB-1804 36GRIT CUT-OFF WHL 9IN,-- Unbranded --,,,3M
AB2-1603,"AB2-1603 7"" CUT WHL METAL",-- Unbranded --,,,Norton
PL2-1556,PL2-1556 1IN CU 90 ELBOW,-- Unbranded --,,,NIBCO INC.
MW-1328,MW-1328 OVER THE RANGE MICROWAVE 1395W,-- Unbranded --,-- No Unilog Brand --,,GE Appliances
EL2-1623,EL2-1623 DECORA ROCKER SWITCH 20A WHITE,-- Unbranded --,,-- No DIB Brand --,Leviton Manufacturing
AU-1627,AU-1627 12V AGM BATTERY GRP 24 764CCA,-- Unbranded --,,,Interstate
PL-1961,PL-1961 1 TEE BRS 150#,,,-- No DIB Brand --,WATTS WATER TECH
RF-1379,RF-1379 FRENCH DOOR REFRIGERATOR 19 CU FT,-- Unbranded --,,-- No DIB Brand --,GE Appliances
PT-1244,PT-1244 20V CORDLESS DRILL DRIVER KIT,-- Unbranded --,,,DEWALT Industrial
FA-1159,FA-1159 20D FINISH NAIL 3-IN 1lb BOX,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Fastenal Company
PT2-1670,"PT2-1670 6.5"" CIRC SAW 15A CORDED",,-- No Unilog Brand --,-- No DIB Brand --,Makita USA
PL-1588,PL-1588 1/2 TEE BRS 150#,,,,Watts Water Technologies
FA-1187,FA-1187 8D COMMON NAIL 2 IN 25lb BOX,,,,Fastenal Co
HT-1111,HT-1111 10-IN ADJ WRENCH CHROME VANADIUM,-- Unbranded --,,,Klein Tools
HV-1836,HV-1836 25X20X1 MERV13 PLEATED FILTR,,,,Honeywell International
EL-1284,EL-1284 14/2 NM-B ROMEX 250 FT,-- Unbranded --,,-- No DIB Brand --,Southwire Co.
BM-1938,BM-1938 1/2IN OSB SUBFLR 4X8 SHEET,-- Unbranded --,-- No Unilog Brand --,,GP
JN-1910,JN-1910 24-IN MICROFIBER FLAT MOP,-- Unbranded --,,,Rubbermaid
TOOL2-1025,TOOL2-1025 M12 IMPACT WRENCH KIT,-- Unbranded --,-- No Unilog Brand --,,Milwaukee Tool
HT-1221,HT-1221 10 in. ADJ WRENCH CHROME VANADIUM,-- Unbranded --,,,Klein Tools
JN-1361,JN-1361 18 IN MICROFIBER FLAT MOP,-- Unbranded --,,-- No DIB Brand --,Rubbermaid Commercial
AB2-1279,AB2-1279 7-IN GRIND WHL A24 TYPE27,-- Unbranded --,,-- No DIB Brand --,Norton Abr.
BM-1697,BM-1697 1/2IN OSB SUBFLR 4X8 SHEET,-- Unbranded --,-- No Unilog Brand --,,GP
RF-1557,RF-1557 SIDE BY SIDE REFRIGERATOR 23 CU FT,-- Unbranded --,,-- No DIB Brand --,Whirlpool Corporation
ADH-1180,ADH-1180 CONSTRUCTION ADHESIVE 9OZ TUBE,,-- No Unilog Brand --,,Henkel Corporation
SF2-1969,SF2-1969 NITRILE GLOVE PF MD 100CT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Ansell
CBL-1194,CBL-1194 CAT6.5 CABLE 500FT,,,,Belden Incorporated
EL2-1334,EL2-1334 GFCI RECEPT 20A 125V TR WHITE,,-- No Unilog Brand --,-- No DIB Brand --,Leviton
VLV-1387,VLV-1387 1IN BALL VLV BRZ THD,,,,Eaton Corporation
DW-1650,DW-1650 TOP CONTROL DISHWASHER 48 dBA STAINLESS STEEL,-- Unbranded --,,-- No DIB Brand --,GE Appliances
HT-1569,HT-1569 10 IN ADJ WRENCH CHROME VANADIUM,,-- No Unilog Brand --,,Klein Tools Inc
HV-1236,HV-1236 PROGRAMMABLE THERMOSTAT 7-DAY DIGITAL,-- Unbranded --,,,Honeywell Inc
RF-1960,RF-1960 SIDE BY SIDE REFRIGERATOR 27 CU FT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Whirlpool Corporation
LB-1946,LB-1946 LED FLAT PANEL 2X4 50W 5000K,-- Unbranded --,,-- No DIB Brand --,Signify NA
RF-1744,RF-1744 TOP FREEZER REFRIGERATOR 21 CU FT,-- Unbranded --,-- No Unilog Brand --,,LG Electronics
ADH-1873,ADH-1873 EPOXY 3OZ CARTRIDGE,-- Unbranded --,,,Henkel Corporation
PL-1415,PL-1415 1 CPLG BRS 125#,,-- No Unilog Brand --,,WATTS WATER TECH
LG-1581,LG-1581 56V CORDLESS LEAF BLOWER,-- Unbranded --,,,EGO Power+
FAS2-1693,FAS2-1693 POST BASE GALV,-- Unbranded --,,,Simpson Strong Tie Co
PL-1973,PL-1973 3/4 UNION BRS 150#,-- Unbranded --,,-- No DIB Brand --,Watts
RF-1658,RF-1658 TOP FREEZER REFRIGERATOR 26 CU FT,-- Unbranded --,,,Whirlpool Corporation
UNK-9003,,,,,Grainger Industrial Supply
PL-1975,PL-1975 1/2 TEE BRS 125#,-- Unbranded --,-- No Unilog Brand --,,Watts Regulator Co
EL2-1457,EL2-1457 DECORA ROCKER SWITCH 20A WHITE,-- Unbranded --,-- No Unilog Brand --,,Leviton
PT-1773,PT-1773 12V MAX CORDLESS IMPACT DRIVER KIT,-- Unbranded --,,,DeWalt Ind. Tool
HT-1283,HT-1283 12IN ADJ WRENCH CHROME VANADIUM,,,,Klein
DW-1732,DW-1732 TOP CONTROL DISHWASHER 44 dBA WHITE,-- Unbranded --,,,Bosch
SF2-1099,SF2-1099 NITRILE GLOVES PF SM 100CT,-- Unbranded --,,,Ansell Limited
PT-1967,PT-1967 18V MAX CORDLESS IMPACT DRIVER KIT,,,,DEWALT Industrial
SF-1336,SF-1336 SAFETY GLASSES CLR ANTI-FOG ANSI Z87.1,-- Unbranded --,-- No Unilog Brand --,,3M Co.
HT-1090,HT-1090 10-IN ADJUSTABLE WRENCH CHROME VANADIUM,-- Unbranded --,,-- No DIB Brand --,Klein
PL-1253,PL-1253 3/4 TEE BRS 125#,-- Unbranded --,,,WATTS WATER TECH
JN-1587,JN-1587 18in MICROFIBER MOP PAD,,,,Rubbermaid
AB2-1007,AB2-1007 7IN GRIND WHL A24 TYPE27,-- Unbranded --,,,Norton Abrasives
LB-1709,LB-1709 LED FLAT PANEL 2X2 40W 3500K,,,,Philips Lighting
LB-1728,LB-1728 LED FLAT PANEL 2X2 40W 5000K,-- Unbranded --,-- No Unilog Brand --,,Signify North America
FA-1554,"FA-1554 #10-24 X 1"" HEX CAP SCR ZN GR5",,-- No Unilog Brand --,,Fastenal
FAS2-1893,FAS2-1893 JOIST HANGER GALV,-- Unbranded --,,,Simpson
MW-1100,MW-1100 OVER THE RANGE MICROWAVE 1076W,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,GE Appliances
FAS2-1326,FAS2-1326 POST BASE GALV,-- Unbranded --,,,Simpson
PT2-1278,PT2-1278 10 in. CIRC SAW 15A CORDED,-- Unbranded --,,-- No DIB Brand --,Makita U.S.A. Inc
SF-1327,SF-1327 SAFETY GLASSES CLEAR ANTI-FOG ANSI Z87.1,,,,3M Co.
HV-1044,HV-1044 PROGRAMMABLE THERMOSTAT 5-2 DAY DIGITAL,-- Unbranded --,-- No Unilog Brand --,,Honeywell International
DW-1002,DW-1002 BUILT-IN DISHWASHER 44 dBA WHITE,-- Unbranded --,-- No Unilog Brand --,,Bosch
PT2-1931,PT2-1931 7.25 in. CIRC SAW 15A CORDED,-- Unbranded --,,-- No DIB Brand --,Makita
PT-1351,PT-1351 20V MAX CORDLESS DRILL DRIVER KIT,-- Unbranded --,,-- No DIB Brand --,DeWalt Ind. Tool
BM-1552,BM-1552 1/2IN OSB SHEATHING 4X8 SHEET,,,,GP
PT2-1219,PT2-1219 6.5-IN CIRC SAW 15A CORDED,-- Unbranded --,,,Makita U.S.A. Inc
AB-1395,AB-1395 36GRIT SANDING BELT 4.5IN,-- Unbranded --,,,3M Company
SF-1393,SF-1393 SAFETY GLASSES CLR ANTI-FOG ANSI Z87.1,-- Unbranded --,,,3M
HV-1004,HV-1004 PROGRAMMABLE THERMOSTAT 7-DAY DIGITAL,-- Unbranded --,-- No Unilog Brand --,,Honeywell Intl
ADH-1354,ADH-1354 SILICONE SEALANT 3OZ CARTRIDGE,-- Unbranded --,,-- No DIB Brand --,Henkel Corporation
VLV-1410,VLV-1410 1IN BALL VLV BRZ THD,-- Unbranded --,-- No Unilog Brand --,,Eaton Corporation
LB-1117,LB-1117 A19 LED 9W 5000K DIM 6PK,-- Unbranded --,,,Signify NA
HT-1203,HT-1203 8-IN ADJ WRENCH CHROME VANADIUM,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Klein
PL-1490,PL-1490 1 CPLG BRS 125#,,,,Watts
BM-1082,BM-1082 5/8IN OSB SUBFLR 4X8 SHEET,-- Unbranded --,-- No Unilog Brand --,,GP
AB2-1169,AB2-1169 7in CUT WHL METAL,-- Unbranded --,,,Norton Abr.
