MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,0,Appliances,Large Appliances,Refrigerators,1515800,RF-1855,RF-1855 TOP FREEZER REFRIGERATOR 28 CU FT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Whirlpool Corporation,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,RF-1855,,Appliances & Large Appliances & Refrigerators,"UNRESOLVED — needs manual review, Refrigerators, RF-1855",REFRIGERATORS RF-1855 TOP FREEZER CONFIG,UNRESOLVED — needs manual review RF-1855 Refrigerators,"UNRESOLVED — needs manual review Refrigerators, RF-1855, Top Freezer, 28 cu ft Capacity",Refrigerators,,,,,,,,,,,,,,,,,,,,,,,,,,,Refrigerators,Configuration,Top Freezer,,Capacity,28,cu ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,1,Electrical,Wiring Devices,Switches,1515801,EL2-1520,EL2-1520 DECORA SWITCH 15A WHT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Leviton,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,EL2-1520,,Electrical & Wiring Devices & Switches,"UNRESOLVED — needs manual review, Switches, EL2-1520",SWITCHES EL2-1520 15 A AMPERAGE WHITE CO,"UNRESOLVED — needs manual review EL2-1520 Switches, White","UNRESOLVED — needs manual review Switches, EL2-1520, 15 A Amperage, White, Decora","Switches, White",,,,,,,,,,,,,,,,,,,,,,,,,,,Switches,Amperage,15,A,Color,White,,Style,Decora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,2,Adhesives,Epoxies,Epoxy Tubes,1515802,ADH-1470,ADH-1470 EPOXY 3OZ TUBE,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Henkel Corp,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,ADH-1470,,Adhesives & Epoxies & Epoxy Tubes,"UNRESOLVED — needs manual review, Epoxy Tubes, ADH-14703",EPOXY TUBES ADH-1470 3 OZ SIZE TUBE CONT,"UNRESOLVED — needs manual review ADH-1470 Epoxy Tubes, 3","UNRESOLVED — needs manual review Epoxy Tubes, ADH-1470, 3 oz Size, Tube","Epoxy Tubes, 3",,,,,,,,,,,,,,,,,,,,,,,,,,,Epoxy Tubes,Size,3,oz,Container Type,Tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,3,Safety,Hand Protection,Disposable Gloves,1515803,SF2-1976,SF2-1976 NITRILE GLOVE PF LG 100CT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Ansell,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,SF2-1976,,Safety & Hand Protection & Disposable Gloves,"UNRESOLVED — needs manual review, Disposable Gloves, SF2-1976Large",DISPOSABLE GLOV SF2-1976 NITRILE MATERIA,"UNRESOLVED — needs manual review SF2-1976 Disposable Gloves, Nitrile, Large","UNRESOLVED — needs manual review Disposable Gloves, SF2-1976, Nitrile, Powder-Free, Large, 100 ct Quantity","Disposable Gloves, Nitrile, Large",,,,,,,,,,,,,,,,,,,,,,,,,,,Disposable Gloves,Material,Nitrile,,Features,Powder-Free,,Size,Large,,Quantity,100,ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,4,Electrical,Wiring Devices,Switches,1515804,EL2-1359,EL2-1359 DECORA ROCKER SWITCH 20A WHITE,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Leviton Manufacturing,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,EL2-1359,,Electrical & Wiring Devices & Switches,"UNRESOLVED — needs manual review, Switches, EL2-1359",SWITCHES EL2-1359 20 A AMPERAGE WHITE CO,"UNRESOLVED — needs manual review EL2-1359 Switches, White","UNRESOLVED — needs manual review Switches, EL2-1359, 20 A Amperage, White, Decora Rocker","Switches, White",,,,,,,,,,,,,,,,,,,,,,,,,,,Switches,Amperage,20,A,Color,White,,Style,Decora Rocker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,5,Plumbing,Fittings & Valves,Copper Fittings,1515805,PL2-1722,PL2-1722 1IN CU 90 ELBOW,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Nibco Inc,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,PL2-1722,,Plumbing & Fittings & Valves & Copper Fittings,"UNRESOLVED — needs manual review, Copper Fittings, PL2-17221",COPPER FITTINGS PL2-1722 1 IN SIZE COPPE,"UNRESOLVED — needs manual review PL2-1722 Copper Fittings, Copper, 1","UNRESOLVED — needs manual review Copper Fittings, PL2-1722, 1 in Size, Copper, 90 deg Angle, Elbow","Copper Fittings, Copper, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,Copper Fittings,Size,1,in,Material,Copper,,Angle,90,deg,Fitting Type,Elbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,6,Tools,Power Tools,Circular Saws,1515806,PT2-1666,"PT2-1666 7.25"" CIRC SAW 15A CORDED",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Makita USA,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,PT2-1666,,Tools & Power Tools & Circular Saws,"UNRESOLVED — needs manual review, Circular Saws, PT2-1666",CIRCULAR SAWS PT2-1666 15 A AMPERAGE 7.2,UNRESOLVED — needs manual review PT2-1666 Circular Saws,"UNRESOLVED — needs manual review Circular Saws, PT2-1666, 15 A Amperage, 7.25 in Blade Size, Corded",Circular Saws,,,,,,,,,,,,,,,,,,,,,,,,,,,Circular Saws,Amperage,15,A,Blade Size,7.25,in,Power Source,Corded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,7,Automotive,Batteries,AGM Batteries,1515807,AU-1937,AU-1937 12V AGM BATTERY GRP 24 712CCA,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Interstate Battery Sys,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,AU-1937,,Automotive & Batteries & AGM Batteries,"UNRESOLVED — needs manual review, AGM Batteries, AU-1937",AGM BATTERIES AU-1937 12 V VOLTAGE AGM B,"UNRESOLVED — needs manual review AU-1937 AGM Batteries, 12","UNRESOLVED — needs manual review AGM Batteries, AU-1937, 12 V Voltage, AGM, 24, 712 CCA Cold Cranking Amps",AGM Batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,AGM Batteries,Voltage,12,V,Battery Type,AGM,,Group Size,24,,Cold Cranking Amps,712,CCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,8,Tools,Power Tools,Reciprocating Saws,1515808,TOOL2-1514,TOOL2-1514 M18 RECIPROCATING SAW KIT,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Tool,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,TOOL2-1514,,Tools & Power Tools & Reciprocating Saws,"UNRESOLVED — needs manual review, Reciprocating Saws, TOOL2-1514",RECIPROCATING S TOOL2-1514 18 V VOLTAGE,"UNRESOLVED — needs manual review TOOL2-1514 Reciprocating Saws, 18","UNRESOLVED — needs manual review Reciprocating Saws, TOOL2-1514, 18 V Voltage, M18, Kit",Reciprocating Saws,,,,,,,,,,,,,,,,,,,,,,,,,,,Reciprocating Saws,Voltage,18,V,Battery Platform,M18,,Kit Type,Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,9,Tools,Hand Tools,Wrenches,1515809,HT-1133,HT-1133 12in ADJUSTABLE WRENCH CHROME VANADIUM,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Klein Tools Inc,UNRESOLVED — needs manual review,UNRESOLVED — needs manual review,,HT-1133,,Tools & Hand Tools & Wrenches,"UNRESOLVED — needs manual review, Wrenches, HT-113312",WRENCHES HT-1133 CHROME COLOR 12 IN SIZE,"UNRESOLVED — needs manual review HT-1133 Wrenches, Chrome Vanadium, Chrome, 12","UNRESOLVED — needs manual review Wrenches, HT-1133, Chrome, 12 in Size, Adjustable Wrench, Chrome Vanadium","Wrenches, Chrome Vanadium, Chrome, 12",,,,,,,,,,,,,,,,,,,,,,,,,,,Wrenches,Color,Chrome,,Size,12,in,Tool Type,Adjustable Wrench,,Material,Chrome Vanadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
