"category","rows"
"Lighting > Light Bulbs > LED Bulbs","73"
"Lawn & Garden > Outdoor Living > Decking","60"
"Outdoor > Decking > Composite Decking","55"
"Abrasives > Bonded Abrasives > Cut-Off Wheels","39"
"Building Materials > Decking & Railing > Fascia Boards","35"
"Lighting > Bulbs > LED Medium Base Bulbs","21"
"Tools > Power Tool Accessories > Screwdriver Bits","20"
"Lighting > Wall Lights > Wall Sconces","16"
"Lighting > Chandeliers > Chandeliers","15"
"Appliances > Laundry Appliances > Dryers","13"
"Tools > Saw Blades > Circular Saw Blades","12"
"Lighting > Ceiling Lights > Flush Mount Lights","12"
"Lighting > Light Bulbs > Incandescent Bulbs","11"
"Safety > Protective Clothing > Heated Gloves","11"
"Lighting > Recessed Lighting > Downlights","10"
"Safety > Eye Protection > Safety Glasses","10"
"Tools > Power Tools > Nailers","10"
"Tools > Measuring & Layout > Masonry Lines","10"
"Appliances > Large Appliances > Dishwashers","10"
"Tools > Cordless Tools > Impact Wrenches","10"
"Outdoor > Decking & Railing > Railing Kits","10"
"Appliances > Cooking Appliances > Microwaves","9"
"Appliances > Large Appliances > Refrigerators","9"
"Appliances > Cooking Appliances > Ranges","9"
"Appliances > Comfort > Fans","9"
"Lighting > Pendants > Pendant Lights","9"
"Tools > Power Tool Accessories > Table Saw Fences","8"
"Tools > Measuring & Layout > Laser Levels","8"
"Tools > Tool Accessories > Driver Bits","8"
"Abrasives > Coated Abrasives > Sanding Discs","8"
"Building Materials > Roofing & Siding > Metal Roofing","8"
"Appliances > Laundry Appliances > Washers","8"
"Building Materials > Decking & Railing > Railing Kits","8"
"Safety > Protective Clothing > Heated Hoodies","8"
"Abrasives > Bonded Abrasives > Grinding Wheels","7"
"Electrical > Boxes & Covers > Box Covers","7"
"Building Materials > Decking & Railing > Posts & Sleeves","7"
"Abrasives > Diamond Blades > Tile & Glass Diamond Blades","6"
"Electrical > Boxes & Covers > Electrical Boxes","6"
"Lighting > Bulbs > LED Candelabra Bulbs","6"
"Tools > Power Tool Accessories > Batteries","6"
"Tools > Power Tools > Circular Saws","6"
"Tools > Cordless Tools > Grinders","6"
"Lighting > Pendant Lights > Pendant Lights","6"
"Building Materials > Decking & Railing > Post Trim & Caps","5"
"Abrasives > Coated Abrasives > Sandpaper Sheets","5"
"Tools > Woodworking Machinery > Planers","5"
"Appliances > Small Appliances > Coffee Makers","5"
"Appliances > Small Appliances > Espresso Machines","5"
"Outdoor > Decking & Railing > Decking Boards","5"
"Tools > Dust Collection > Dust Extractors","5"
"Tools > Cordless Tools > Impact Drivers","5"
