"row_index","sku","category","manufacturer","brand","part_desc","verification"
"62","PDT715SYVFS","Appliances > Large Appliances > Dishwashers","GE Appliances","GE","PDT715SYVFS Ge Dishwasher SS","not-found"
"63","LDPH5554D","Appliances > Large Appliances > Dishwashers","LG Electronics","LG","LDPH5554D LG Dishwasher BSS","source-verified"
"65","PDD415PYYFS","Appliances > Large Appliances > Dishwashers","GE Appliances","GE","PDD415PYYFS GE Dishwasher SS","not-found"
"66","KDTS424SBE","Appliances > Large Appliances > Dishwashers","Whirlpool Corporation","KitchenAid","KDTS424SBE Kitchen Aid Dishwasher Bk","not-found"
"67","KDTS324SPS","Appliances > Large Appliances > Dishwashers","Whirlpool Corporation","KitchenAid","KDTS324SPS Kitchen Aid Dishwasher SS","not-found"
"76","WKE100HWA","Appliances > Laundry Appliances > Laundry Centers","LG Electronics","LG","WKE100HWA LG Laundry Center Wh - Display","not-found"
"78","PTD70GBPTDG","Appliances > Laundry Appliances > Dryers","GE Appliances","GE","PTD70GBPTDG GE Gas Dryer DG","not-found"
"79","PTD70GBSTWS","Appliances > Laundry Appliances > Dryers","GE Appliances","GE","PTD70GBSTWS GE Gas Dryer Wh","not-found"
"86","PTW705BSTWS","Appliances > Laundry Appliances > Washers","GE Appliances","GE","PTW705BSTWS GE Washer Wh","not-found"
"622","C7CDAAS3PD3","Appliances > Small Appliances > Coffee Makers","GE Appliances","Caf?","C7CDAAS3PD3 Caf? Drip Coffee Maker MB","not-found"
"623","C7CDAAS4PW3","Appliances > Small Appliances > Coffee Makers","GE Appliances","Caf?","C7CDAAS4PW3 Caf? Drip Coffee Maker MW","not-found"
"624","C7CDABS2RS3","Appliances > Small Appliances > Coffee Makers","GE Appliances","Caf?","C7CDABS2RS3 Cafe Coffee Maker","not-found"
"625","C7CDABS3RD3","Appliances > Small Appliances > Coffee Makers","GE Appliances","Caf?","C7CDABS3RD3 Caf? Coffee Maker MB","not-found"
"626","C7CDABS4RW3","Appliances > Small Appliances > Coffee Makers","GE Appliances","Caf?","C7CDABS4RW3 Caf? Coffee Maker MW","not-found"
"627","C7CEBBS2RS3","Appliances > Small Appliances > Espresso Machines","GE Appliances","Caf?","C7CEBBS2RS3 Cafe Auto Espresso Machine SS","not-found"
"628","C7CEBBS4RW3","Appliances > Small Appliances > Espresso Machines","GE Appliances","Caf?","C7CEBBS4RW3 Caf? Auto Espresso Machine Wh","not-found"
"629","C7CESAS2RS3","Appliances > Small Appliances > Espresso Machines","GE Appliances","Caf?","C7CESAS2RS3 Caf? Espresso SS","not-found"
"630","C7CESAS3RD3","Appliances > Small Appliances > Espresso Machines","GE Appliances","Caf?","C7CESAS3RD3 Caf? Espresso Machine MB","not-found"
"631","C7CESAS4RW3","Appliances > Small Appliances > Espresso Machines","GE Appliances","Caf?","C7CESAS4RW3 Cafe Espresso Wh","not-found"
"632","WOSP30100SS","Appliances > Cooking Appliances > Wall Ovens","Ar?elik","Beko","WOSP30100SS Beko Wall Oven SS","not-found"
"633","MSER2090S","Appliances > Cooking Appliances > Microwaves","LG Electronics","LG","MSER2090S LG Microwave SS","source-verified"
"634","GCST16S1WSS","Appliances > Cooking Appliances > Microwaves","GE Appliances","GE","GCST16S1WSS GE Microwave SS","not-found"
"635","PCWK15C1WSS","Appliances > Cooking Appliances > Microwaves","GE Appliances","GE","PCWK15C1WSS GE Microwave","not-found"
"638","PEP9030DTBB","Appliances > Cooking Appliances > Cooktops","GE Appliances","GE","PEP9030DTBB 30"" GE Cooktop Bk","not-found"
"639","CES700P3MD1","Appliances > Cooking Appliances > Ranges","GE Appliances","Caf?","CES700P3MD1 Cafe 30"" Range Bk - Display","not-found"
"640","PS960YPFS","Appliances > Cooking Appliances > Ranges","GE Appliances","GE","PS960YPFS 30"" GE Electric Range SS - Display Only","not-found"
"644","LSEL6333ZE","Appliances > Cooking Appliances > Ranges","LG Electronics","LG","LSEL6333ZE LG 30"" Elec Range BS-Display Only","source-verified"
"646","GCFG3661AF","Appliances > Cooking Appliances > Ranges","Rheem Manufacturing","FRIGIDAIRE","GCFG3661AF 36"" Frigidaire Gas Range SS","not-found"
"648","CHP90301TBB","Appliances > Cooking Appliances > Cooktops","GE Appliances","Caf?","CHP90301TBB Caf? Cooktop Bk","not-found"
"649","CVM517P3RD1","Appliances > Cooking Appliances > Microwaves","GE Appliances","Caf?","CVM517P3RD1 Cafe Microwave Bk - Display","not-found"
"653","JXGRILL1","Appliances > Cooking Appliances > Range Accessories","GE Appliances","GE","JXGRILL1 GE Range Grill","not-found"
"654","C9TMA2S3PD3","Appliances > Small Appliances > Toasters","GE Appliances","Caf?","C9TMA2S3PD3 Caf? Toaster MB","not-found"
"655","C9TMA2S4PW3","Appliances > Small Appliances > Toasters","GE Appliances","Caf?","C9TMA2S4PW3 Caf? Toaster MW","not-found"
"656","C90AAAS2RS3","Appliances > Small Appliances > Toaster Ovens","GE Appliances","Caf?","C90AAAS2RS3 Cafe Toast Oven SS","not-found"
"657","C9TMA2SP2PS3","Appliances > Small Appliances > Toasters","GE Appliances","Caf?","C9TMA2S2PS3 Cafe Toaster SS","not-found"
"658","GDE21EMKES","Appliances > Refrigeration > Refrigerators","GE Appliances","GE","GDE21EMKES GE 21CF Fridge SL Display Only","not-found"
"659","FCM16SLWW","Appliances > Refrigeration > Freezers","GE Appliances","GE","FCM16SLWW 16CF GE Freezer Chest MH","not-found"
"660","GNE27JYMFS","Appliances > Large Appliances > Refrigerators","GE Appliances","GE","GNE27JYMFS GE Fridge SS","not-found"
"661","CVE28DP3ND1","Appliances > Large Appliances > Refrigerators","GE Appliances","Caf?","CVE28DP3ND1 Cafe Fridge Bk","not-found"
"662","GNE25JMKES","Appliances > Large Appliances > Refrigerators","GE Appliances","GE","GNE25JMKES GE Fridge Slate - Display","not-found"
"664","PAD28BYTFS","Appliances > Large Appliances > Refrigerators","GE Appliances","GE","PAD28BYTFS GE Fridge SS","not-found"
"665","PGE29BYTFS","Appliances > Large Appliances > Refrigerators","GE Appliances","GE","PGE29BYTFS GE Fridge SS","not-found"
"667","LT18S2100W","Appliances > Large Appliances > Refrigerators","LG Electronics","LG","LT18S2100W LG Fridge Wh","not-found"
"668","LT18S2100SS","Appliances > Large Appliances > Refrigerators","LG Electronics","LG","LT18S2100S 18CF LG Fridge SS","not-found"
"766","55227","Tools > Power Tool Accessories > Countersinks","Whirlpool Corporation","Amana","55227 Amana Countersink/Stop 1/8"" Drill TB","not-found"
